wo_id,equipment_id,date,problem,root_cause,action_taken,technician,status
"WO-0435","VLV-DR-501","2026-03-22","Actuator not responding to control signal","Positioner failure and air supply issue","Replaced positioner; adjusted zero and span","Anwar","Closed"
"WO-0436","PMP-CW-102","2026-03-22","Excessive bearing noise and vibration","Bearing wear due to inadequate lubrication; last PM inspection overdue by 59 days","Replaced drive-end and non-drive-end bearings; repacked with lithium grease; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0437","HEX-CW-102","2026-03-23","High differential pressure across heat exchanger","Tube-side fouling and partial blockage","High-pressure water jetting of tube bundle; eddy current test","Deepak","Completed"
"WO-0438","HEX-PR-201","2026-03-25","High differential pressure across heat exchanger","Tube-side fouling and partial blockage","High-pressure water jetting of tube bundle; eddy current test","Rajan","Pending"
"WO-0439","MTR-CW-101","2026-03-25","Insulation resistance low - 0.3 MΩ measured","Insulation failure due to moisture ingress; last PM inspection overdue by 56 days","Oven-dried windings; applied insulation varnish; megger tested; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0440","MTR-CW-101","2026-03-27","Motor tripping on earth fault relay","Winding insulation breakdown at phase-to-earth; last PM inspection overdue by 24 days","Rewound stator; upgraded insulation class to F; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0441","VLV-CW-102","2026-03-29","Valve passing in closed position","Seat erosion from high velocity flow","Lapped valve seat; replaced stem packing","Pradeep","Completed"
"WO-0442","MTR-PR-301","2026-03-30","Excessive vibration at coupling end","Shaft misalignment with driven pump","Laser alignment performed; alignment to within 0.05mm","Pradeep","Completed"
"WO-0443","PMP-CW-102","2026-03-31","Flow rate drop with high power consumption","Cavitation from entrained air in suction line; last PM inspection overdue by 54 days","Bled air from suction; repaired suction pipe joint; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0444","PMP-CW-101","2026-03-31","Excessive bearing noise and vibration","Bearing wear due to inadequate lubrication; last PM inspection overdue by 62 days","Replaced drive-end and non-drive-end bearings; repacked with lithium grease; PM schedule updated and overdue inspection completed","Murugan","Completed"
"WO-0445","PMP-CW-102","2026-04-03","High bearing temperature alarm triggered","Advanced bearing wear, lubricant degradation","Emergency bearing replacement; installed temperature sensor","Deepak","Completed"
"WO-0446","VLV-CW-101","2026-04-07","Valve passing in closed position","Seat erosion from high velocity flow; last PM inspection overdue by 70 days","Lapped valve seat; replaced stem packing; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0447","MTR-CW-102","2026-04-09","Excessive vibration at coupling end","Shaft misalignment with driven pump","Laser alignment performed; alignment to within 0.05mm","Suresh","Completed"
"WO-0448","VLV-CW-102","2026-04-14","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Anwar","Completed"
"WO-0449","CMP-AIR-102","2026-04-17","Intercooler outlet temperature elevated 20°C","Fouling and scale buildup in heat exchanger passages; last PM inspection overdue by 51 days","Chemical descaling of cooler; backflushed cooling water circuit; PM schedule updated and overdue inspection completed","Pradeep","Completed"
"WO-0450","MTR-PR-301","2026-04-17","Motor body temperature 110°C during run","Overheating due to single phasing; last PM inspection overdue by 85 days","Replaced blown fuse; checked and tightened terminal connections; PM schedule updated and overdue inspection completed","Deepak","Pending"
"WO-0451","CMP-REF-301","2026-04-18","Oil level dropping rapidly, no external leak","Internal oil leakage past cylinder rings","Replaced ring set; inspected cylinder walls for scoring","Suresh","Pending"
"WO-0452","HEX-CW-101","2026-04-19","High differential pressure across heat exchanger","Tube-side fouling and partial blockage","High-pressure water jetting of tube bundle; eddy current test","Pradeep","Completed"
"WO-0453","VLV-ST-301","2026-04-20","Valve stuck in open position","Corrosion of stem and body seizing","Penetrating oil applied; stem polished; lubricated","Deepak","Completed"
"WO-0454","MTR-FW-201","2026-04-22","Insulation resistance low - 0.3 MΩ measured","Insulation failure due to moisture ingress","Oven-dried windings; applied insulation varnish; megger tested","Murugan","Completed"
"WO-0455","PMP-FW-201","2026-04-23","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue","Replaced mechanical seal cartridge; inspected shaft sleeve","Kavitha","Completed"
"WO-0456","PMP-PR-301","2026-04-26","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue","Replaced mechanical seal cartridge; inspected shaft sleeve","Murugan","Completed"
"WO-0457","HEX-SM-301","2026-04-26","High differential pressure across heat exchanger","Tube-side fouling and partial blockage","High-pressure water jetting of tube bundle; eddy current test","Murugan","Completed"
"WO-0458","VLV-CW-101","2026-04-30","Valve stem packing leaking","Packing degradation from thermal cycling; last PM inspection overdue by 69 days","Replaced PTFE packing; torqued gland follower; PM schedule updated and overdue inspection completed","Anwar","Completed"
"WO-0459","MTR-CW-102","2026-05-01","Insulation resistance low - 0.3 MΩ measured","Insulation failure due to moisture ingress","Oven-dried windings; applied insulation varnish; megger tested","Rajan","Completed"
"WO-0460","VLV-CW-101","2026-05-01","Valve stem packing leaking","Packing degradation from thermal cycling; last PM inspection overdue by 60 days","Replaced PTFE packing; torqued gland follower; PM schedule updated and overdue inspection completed","Murugan","Completed"
"WO-0461","HEX-SM-301","2026-05-05","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends","Plugged leaking tubes; scheduled tube bundle replacement","Deepak","Completed"
"WO-0462","HEX-CW-102","2026-05-07","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer","Mechanical cleaning of shell side; replaced gaskets","Anwar","Completed"
"WO-0463","HEX-PR-201","2026-05-07","High differential pressure across heat exchanger","Tube-side fouling and partial blockage","High-pressure water jetting of tube bundle; eddy current test","Anwar","Completed"
"WO-0464","PMP-FW-202","2026-05-08","Abnormal noise during pump startup","Cavitation due to low suction pressure; last PM inspection overdue by 81 days","Adjusted suction valve opening; cleared strainer blockage; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0465","VLV-ST-301","2026-05-09","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Suresh","Completed"
"WO-0466","PMP-FW-201","2026-05-11","Pump casing erosion observed","Prolonged cavitation causing pitting; last PM inspection overdue by 51 days","Casing interior epoxy-coated; NPSH margins reviewed; PM schedule updated and overdue inspection completed","Kavitha","In Progress"
"WO-0467","PMP-CW-101","2026-05-13","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Anwar","Closed"
"WO-0468","VLV-ST-301","2026-05-14","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Rajan","Pending"
"WO-0469","PMP-PR-301","2026-05-15","Seal flush line blocked, seal overheating","Seal failure from loss of flush cooling","Replaced seal; flushed and cleared seal pot lines","Anwar","In Progress"
"WO-0470","PMP-PR-301","2026-05-16","Water leakage from pump casing joint","Gland packing failure and shaft wear","Repacked gland; shimmed shaft alignment","Pradeep","Pending"
"WO-0471","MTR-CW-101","2026-05-16","Motor winding temperature above 85°C","Overheating due to blocked ventilation ducts","Cleaned cooling fins; replaced cooling fan; checked current draw","Anwar","Completed"
"WO-0472","CMP-AIR-101","2026-05-17","Oil level dropping rapidly, no external leak","Internal oil leakage past cylinder rings","Replaced ring set; inspected cylinder walls for scoring","Deepak","Completed"
"WO-0473","VLV-DR-501","2026-05-20","Valve stuck in open position","Corrosion of stem and body seizing; last PM inspection overdue by 62 days","Penetrating oil applied; stem polished; lubricated; PM schedule updated and overdue inspection completed","Murugan","Completed"
"WO-0474","MTR-FW-202","2026-05-21","Motor winding temperature above 85°C","Overheating due to blocked ventilation ducts","Cleaned cooling fins; replaced cooling fan; checked current draw","Suresh","Completed"
"WO-0475","VLV-ST-301","2026-05-23","Actuator not responding to control signal","Positioner failure and air supply issue; last PM inspection overdue by 79 days","Replaced positioner; adjusted zero and span; PM schedule updated and overdue inspection completed","Murugan","Closed"
"WO-0476","PMP-PR-301","2026-05-24","Excessive bearing noise and vibration","Bearing wear due to inadequate lubrication; last PM inspection overdue by 86 days","Replaced drive-end and non-drive-end bearings; repacked with lithium grease; PM schedule updated and overdue inspection completed","Suresh","Closed"
"WO-0477","CMP-N2-201","2026-05-24","Oil carryover contaminating process air","Oil leakage from separator element failure","Replaced oil separator element; checked coalescing filter","Kavitha","Completed"
"WO-0478","VLV-CW-102","2026-05-25","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Pradeep","Completed"
"WO-0479","PMP-CW-101","2026-05-25","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Pradeep","Closed"
"WO-0480","MTR-FW-201","2026-05-26","Motor tripping on earth fault relay","Winding insulation breakdown at phase-to-earth","Rewound stator; upgraded insulation class to F","Anwar","Completed"
"WO-0481","VLV-CW-102","2026-05-29","Valve stuck in open position","Corrosion of stem and body seizing","Penetrating oil applied; stem polished; lubricated","Deepak","Completed"
"WO-0482","HEX-CW-102","2026-05-30","High differential pressure across heat exchanger","Tube-side fouling and partial blockage; last PM inspection overdue by 71 days","High-pressure water jetting of tube bundle; eddy current test; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0483","PMP-CW-101","2026-06-03","Abnormal noise during pump startup","Cavitation due to low suction pressure; prior inspection warning noted 6 days before failure","Adjusted suction valve opening; cleared strainer blockage","Rajan","Completed"
"WO-0484","HEX-CW-102","2026-06-03","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer","Mechanical cleaning of shell side; replaced gaskets","Deepak","Completed"
"WO-0485","CMP-REF-301","2026-06-05","Discharge pressure dropping below setpoint","Pressure loss due to worn piston rings","Replaced piston rings and cylinder liners; pressure tested","Murugan","Completed"
"WO-0486","HEX-CW-101","2026-06-06","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer; last PM inspection overdue by 65 days","Mechanical cleaning of shell side; replaced gaskets; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0487","VLV-CW-102","2026-06-08","Valve passing in closed position","Seat erosion from high velocity flow","Lapped valve seat; replaced stem packing","Kavitha","Completed"
"WO-0488","PMP-PR-301","2026-06-10","Excessive bearing noise and vibration","Bearing wear due to inadequate lubrication","Replaced drive-end and non-drive-end bearings; repacked with lithium grease","Anwar","Completed"
"WO-0489","HEX-PR-201","2026-06-10","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends","Plugged leaking tubes; scheduled tube bundle replacement","Anwar","Pending"
"WO-0490","CMP-AIR-101","2026-06-11","Compressor shutdown on high temp trip 200°C","Temperature alarm due to low oil level causing friction; last PM inspection overdue by 89 days","Topped oil; replaced oil cooler; checked all temp sensors; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0491","PMP-CW-101","2026-06-11","Abnormal noise during pump startup","Cavitation due to low suction pressure; prior inspection warning noted 5 days before failure","Adjusted suction valve opening; cleared strainer blockage","Anwar","Completed"
"WO-0492","CMP-REF-301","2026-06-12","Discharge pressure dropping below setpoint","Pressure loss due to worn piston rings","Replaced piston rings and cylinder liners; pressure tested","Anwar","Completed"
"WO-0493","VLV-ST-301","2026-06-18","Valve stem packing leaking","Packing degradation from thermal cycling; last PM inspection overdue by 33 days","Replaced PTFE packing; torqued gland follower; PM schedule updated and overdue inspection completed","Murugan","Pending"
"WO-0494","PMP-PR-301","2026-06-19","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue","Replaced mechanical seal cartridge; inspected shaft sleeve","Suresh","Completed"
"WO-0495","PMP-PR-301","2026-06-20","Seal flush line blocked, seal overheating","Seal failure from loss of flush cooling; last PM inspection overdue by 25 days","Replaced seal; flushed and cleared seal pot lines; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0496","MTR-CW-102","2026-06-23","Insulation resistance low - 0.3 MΩ measured","Insulation failure due to moisture ingress","Oven-dried windings; applied insulation varnish; megger tested","Suresh","Completed"
"WO-0497","PMP-FW-201","2026-06-25","Water leakage from pump casing joint","Gland packing failure and shaft wear","Repacked gland; shimmed shaft alignment","Kavitha","Completed"
"WO-0498","PMP-PR-301","2026-06-25","Excessive bearing noise and vibration","Bearing wear due to inadequate lubrication","Replaced drive-end and non-drive-end bearings; repacked with lithium grease","Pradeep","Completed"
"WO-0499","VLV-DR-501","2026-06-27","Valve stuck in open position","Corrosion of stem and body seizing","Penetrating oil applied; stem polished; lubricated","Deepak","Completed"
"WO-0500","VLV-PR-201","2026-06-29","Actuator not responding to control signal","Positioner failure and air supply issue","Replaced positioner; adjusted zero and span","Suresh","Completed"
